dataset,model,split_index,repeat,fold,train_size,test_size,fit_seconds,predict_seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
kc2,Random Forest,2,1,2,417,105,0.07664662500000041,0.00857749999999946,0.8476190476190476,0.7699890470974808,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8518619934282584,0.6634724200490674,0.5399780941949617
kc2,Random Forest,3,1,3,418,104,0.07757070800000143,0.008879291999999595,0.8269230769230769,0.642570281124498,0.6363636363636364,0.3333333333333333,0.4375,0.7819850831899025,0.5632914296322817,0.3721944375627345
kc2,Random Forest,4,1,4,418,104,0.07726733400000008,0.008516166999999797,0.8557692307692307,0.6962134251290878,0.75,0.42857142857142855,0.5454545454545454,0.90447504302926,0.7465529597108544,0.49308622652675194
kc2,Random Forest,5,1,5,418,104,0.07668683300000012,0.008572083000000674,0.8269230769230769,0.6781411359724613,0.6,0.42857142857142855,0.5,0.7240390131956397,0.46096718549676985,0.40710109804360917
kc2,Random Forest,6,2,1,417,105,0.07477999999999874,0.008526999999999063,0.780952380952381,0.5941949616648412,0.46153846153846156,0.2727272727272727,0.34285714285714286,0.72973713033954,0.5073698089883986,0.23277828604925557
kc2,Random Forest,7,2,2,417,105,0.07523116600000002,0.008365082999999274,0.819047619047619,0.7519167579408543,0.56,0.6363636363636364,0.5957446808510638,0.8127053669222343,0.5801053261167953,0.48141813146742407
kc2,Random Forest,8,2,3,418,104,0.07574916699999967,0.00853829200000078,0.8269230769230769,0.6781411359724613,0.6,0.42857142857142855,0.5,0.8135398737808375,0.6029820265904766,0.40710109804360917
kc2,Random Forest,9,2,4,418,104,0.0775887080000004,0.008539167000000347,0.875,0.7438324727481354,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.8654618473895582,0.6981021905034064,0.5735680608040065
kc2,Random Forest,10,2,5,418,104,0.07682633399999972,0.008542958000001377,0.8942307692307693,0.7736660929432013,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.9001721170395869,0.7657554799796178,0.6437458000082613
kc2,SVM,1,1,1,417,105,0.01424662500000018,0.003299624999998585,0.8476190476190476,0.6697699890470975,0.8,0.36363636363636365,0.5,0.7897042716319824,0.6070582172516665,0.47073826275263553
kc2,SVM,2,1,2,417,105,0.01449054100000069,0.003349749999999929,0.8952380952380953,0.7667031763417305,0.9230769230769231,0.5454545454545454,0.6857142857142857,0.8425520262869661,0.7227603476093444,0.6590873564301596
kc2,SVM,3,1,3,418,104,0.014298832999999789,0.0032836670000016,0.8173076923076923,0.5654044750430293,0.75,0.14285714285714285,0.24,0.7532989099254159,0.5459031891474045,0.27305878771622305
kc2,SVM,4,1,4,418,104,0.01470491699999954,0.003351291999999617,0.8557692307692307,0.6428571428571428,1.0,0.2857142857142857,0.4444444444444444,0.8646012621916237,0.7251087216604171,0.4919171752324061
kc2,SVM,5,1,5,418,104,0.013847708999998432,0.0031463750000000346,0.8076923076923077,0.5771658060814687,0.5714285714285714,0.19047619047619047,0.2857142857142857,0.6629374641422834,0.4767047270816944,0.24726844591924751
